亚特拉斯,地,泰坦,钢岩,10,40,钢岩系统加护技能效果提升110%。,土泰坦
伏尔甘,火,属性,无,0,100,火属性攻击提升140%,火天司
伐楼拿,水,属性,无,20,40,,水屬貴
克洛诺斯,光,泰坦,辉煌,10,40,辉煌加护系统技能效果提升110%。,光泰坦
喀戎,火,属性,无,0,35,,垃圾
塔维尔·亚特·乌姆尔,暗,属性,无,20,40,,暗屬貴
希乌特库特利,火,属性,无,20,40,,火屬貴
建御雷,光,属性,无,20,40,,光屬貴
德墨忒尔,地,诸神,砾岩,20,40,砾岩系统加护技能效果提升130%。,土諸神
德墨忒尔·残影,地,诸神,砾岩,20,40,砾岩系统加护技能效果提升120%。,土諸神幻影
普罗米修斯,火,泰坦,红莲,10,40,红莲系统加护技能效果提升110%。,火泰坦
狄俄涅,水,泰坦,绀碧,10,40,绀碧系统加护技能效果提升110%。,水泰坦
狄斯·帕特尔,暗,属性,无,0,100,暗属性攻击提升140%,暗天司
玻瑞阿斯,风,属性,无,20,40,,風屬貴
珀耳塞庇娜,风,属性,无,0,100,风属性攻击提升140%,風天司
瑞亚,地,属性,无,20,40,,土屬貴
维纳斯,水,属性,无,0,100,水属性攻击提升140%,水天司
谟涅摩叙涅,风,泰坦,暴风,10,40,暴风系统加护技能效果提升110%。,風泰坦
赫卡忒,暗,泰坦,宵暗,10,40,宵暗加护系统技能效果提升110%。,暗泰坦
赫耳墨斯,风,诸神,飓风,20,40,飓风系统加护技能效果提升130%。,風諸神
赫耳墨斯·残影,风,诸神,飓风,20,40,飓风系统加护技能效果提升120%。,風諸神幻影
阿尔忒弥斯,暗,诸神,幽冥,20,40,幽冥系统加护技能效果提升130%。,暗諸神
阿波罗,光,诸神,煌光,20,40,煌光系统加护技能效果提升130%。,光諸神
阿波罗·残影,光,诸神,煌光,20,40,煌光系统加护技能效果提升120%。,光諸神幻影
阿瑞斯,火,诸神,劫炎,20,40,劫炎系统加护技能效果提升130%。,火諸神
阿瑞斯·残影,火,诸神,劫炎,20,40,劫炎系统加护技能效果提升120%。,火諸神幻影
阿耳忒弥斯·残影,暗,诸神,幽冥,20,40,幽冥系统加护技能效果提升120%。,暗諸神幻影
雅典娜,水,诸神,凝冰,20,40,凝冰系统加护技能效果提升130%。,水諸神
雅典娜·残影,水,诸神,凝冰,20,40,凝冰系统加护技能效果提升120%。,水諸神幻影
雅努斯,地,属性,无,0,100,地属性攻击提升140%,土天司